modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 206 PASSION 1.6,PEUGEOT,2006,139197,1.6,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,0,1,0,0,0,14000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23999.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 3P,PEUGEOT,2010,78000,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,0,0,0,1,0,0,0,26500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,25000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,130000,1.4,Flex,Manual,Hidráulica,Preto,4,7,1,1,1,1,1,1,1,0,0,0,9000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,1400100,1.4,Flex,Manual,Hidráulica,Cinza,4,2,0,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,69500,2.0,Flex,Manual,Elétrica,Branco,4,8,1,1,1,0,1,1,1,1,0,0,28500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,24200.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,78000,1.6,Flex,Automático,Hidráulica,Branco,4,5,1,1,1,1,1,1,1,1,1,0,47000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2014,1,1.4,Flex,Manual,Hidráulica,Prata,4,1,1,1,1,1,1,1,1,1,0,0,21500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,0,1,1,1,1,0,0,24000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2011,98542,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,1,1,0,15900.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P AUT.,PEUGEOT,2013,43000,1.6,Flex,Automático,Hidráulica,Cinza,4,6,1,1,1,1,1,1,1,1,0,0,25000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,136000,1.4,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,1,1,0,0,0,11500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,1111111111,1.4,Flex,Manual,Hidráulica,Cinza,4,2,0,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112324,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23900.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2010,128000,1.6,Gasolina,Automático,Hidráulica,Cinza,4,0,1,1,1,1,1,0,1,1,0,0,0.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,140000,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,1,0,0,18500.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2013,84000,1.6,Flex,Automático,Hidráulica,Outra,4,7,1,1,1,1,1,1,1,1,0,0,25000.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2010,174000,1.6,Flex,Manual,Assistida,Prata,4,6,1,1,1,1,1,1,1,1,0,0,19000.0
PEUGEOT ,PEUGEOT,2010,115000,1.4,Flex,Manual,Hidráulica,Preto,4,8,1,1,1,1,1,0,1,0,0,0,16000.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2010,135000,1.6,Flex,Manual,Hidráulica,Verde,4,1,1,1,1,1,1,1,1,0,0,0,15500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,0,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,0,0,0,1,0,16000.0
PEUGEOT 308 FELINE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2013,120000,2.0,Flex,Automático,Hidráulica,Cinza,4,3,1,1,1,1,1,1,1,1,0,0,34800.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2012,99999999,1.4,Flex,Manual,Hidráulica,Preto,4,6,1,1,1,1,1,0,0,0,0,0,15800.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112324,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,24700.0
PEUGEOT 208 ALLURE INCONCERT 1.6 FLEX 16V 5P AUT,PEUGEOT,2016,45617,1.6,Flex,Automático,Elétrica,Prata,4,2,1,1,1,0,1,1,1,1,0,0,45500.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2010,122,1.4,Flex,Manual,Hidráulica,Cinza,4,5,1,1,1,1,1,0,0,0,0,0,19000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2012,0,1.4,Flex,Manual,Hidráulica,Branco,4,4,1,1,1,1,1,0,1,0,0,0,21000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,150,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,1,1,1,0,0,14300.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,146,1.4,Flex,Manual,Hidráulica,Branco,4,8,1,1,1,1,1,1,1,1,0,0,15500.0
PEUGEOT HOGGAR XR 1.4 FLEX 8V 2P,PEUGEOT,2011,0,1.4,Flex,Manual,Hidráulica,Branco,2,3,1,1,1,1,1,0,0,0,0,0,24900.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2013,84000,1.6,Flex,Automático,Hidráulica,Outra,4,7,1,1,1,1,1,1,1,1,0,0,24500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,100000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,1,0,0,0,16000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2011,60000,1.6,Flex,Manual,Hidráulica,Branco,4,7,1,1,0,1,1,1,0,0,0,0,21900.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2016,75000,1.6,Flex,Manual,Elétrica,Branco,4,5,1,1,1,1,0,1,1,1,0,0,45000.0
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2020,42000,1.6,Flex,Automático,Elétrica,Branco,4,0,0,0,0,0,0,0,0,0,0,0,60000.0
PEUGEOT 308 ACTIVE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2014,91911,1.6,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,1,1,1,1,1,0,45500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,1111111111,1.4,Flex,Manual,Hidráulica,Cinza,4,2,1,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,111953,2.0,Flex,Manual,Hidráulica,Verde,4,7,1,1,1,1,1,1,1,1,0,0,24500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,0,1.4,Flex,Manual,Hidráulica,Branco,4,8,1,1,1,0,0,0,0,0,0,0,17000.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2010,139197,1.4,Flex,Manual,Hidráulica,Prata,4,9,0,0,0,0,0,0,0,0,0,0,13500.0
