modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2011,88500,1.4,Flex,Manual,Hidráulica,Cinza,4,0,1,1,1,1,1,0,1,0,0,0,18000.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,43000,1.6,Flex,Automático,Elétrica,Prata,4,6,1,1,1,1,1,1,1,1,1,0,59900.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,48000,1.6,Flex,Automático,Assistida,Prata,4,4,1,1,1,1,1,1,1,1,1,0,54990.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,44125,1.6,Flex,Automático,Elétrica,Branco,4,7,1,1,1,1,1,1,1,1,1,0,50000.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,75000,1.6,Flex,Automático,Elétrica,Branco,4,3,1,1,1,1,1,1,1,1,0,0,43800.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,94000,1.4,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,0,1,1,0,0,0,22000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2011,155,1.4,Flex,Manual,Hidráulica,Cinza,4,9,1,1,1,1,1,0,1,0,0,0,17800.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2012,150896,1.6,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,0,1,1,0,0,23000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,65600,2.0,Gasolina,Manual,Elétrica,Branco,4,8,1,1,1,1,1,1,1,1,0,0,28600.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2011,300000,2.0,Diesel,Manual,Hidráulica,Branco,4,4,0,0,1,1,1,1,1,0,0,0,39500.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,135805,1.4,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,0,1,0,0,0,17000.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,88400,1.5,Flex,Manual,Elétrica,Branco,4,4,1,1,1,0,1,1,1,1,0,0,31000.0
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2010,98500,1.6,Flex,Manual,Hidráulica,Cinza,4,1,1,1,1,1,1,1,1,0,0,0,20000.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2010,158000,1.4,Flex,Manual,Hidráulica,Cinza,4,6,1,1,1,1,1,0,1,1,0,0,15000.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2012,280000,3.0,Diesel,Manual,Hidráulica,Branco,4,2,0,0,1,1,1,0,0,0,0,0,55000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 3P,PEUGEOT,2008,1,1.4,Flex,Automático,Hidráulica,Preto,4,2,1,0,0,1,0,0,0,0,0,0,14900.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,25000,1.6,Flex,Automático,Elétrica,Prata,4,3,1,1,1,0,1,1,0,1,1,0,56900.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,62000,2.0,Flex,Manual,Hidráulica,Branco,4,8,1,1,1,1,1,1,1,1,1,0,32000.0
PEUGEOT 206 TECHNO/ FELINE 1.6/ 1.6 FLEX 16V 5P,PEUGEOT,2005,0,1.6,Gasolina,Manual,Hidráulica,Prata,4,7,1,0,0,1,1,0,0,0,0,0,9000.0
