Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,VW - VOLKSWAGEN,Hatch,2012,100000,1.0,Flex,Manual,Hidráulica,Branco,7,1,1,1,1,1,0,1,1,0,0,28.500
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2021,20000,1.0,Flex,Manual,Elétrica,Preto,8,1,1,1,1,1,1,1,1,0,0,73.500
NISSAN SENTRA SV 2.0 FLEXSTART 16V AUT.,NISSAN,Sedã,2017,59395,2.0 - 2.9,Flex,Automático,Elétrica,Preto,4,0,0,0,0,0,0,0,0,0,0,79.900
VW - VOLKSWAGEN VOYAGE 1.0/1.0 CITY MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2012,127864,1.0,Flex,Manual,Hidráulica,Prata,8,1,1,1,1,1,0,1,0,0,0,31.900
JEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT.,JEEP,SUV,2020,40820,2.0 - 2.9,Diesel,Automático,Elétrica,Cinza,8,1,1,1,1,1,1,1,1,1,0,174.000
FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT,Pick-up,2017,148975,1.4,Flex,Manual,Hidráulica,Branco,7,1,1,1,1,1,1,1,0,0,0,53.000
NISSAN MARCH SV 1.0 12V FLEX 5P,NISSAN,Hatch,2017,44000,1.0,Flex,Manual,Elétrica,Prata,8,1,1,1,0,1,1,1,1,0,0,42.500
HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,Hatch,2015,70000,1.0,Flex,Manual,Hidráulica,Azul,7,1,1,1,1,1,1,1,1,0,0,42.500
GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,Pick-up,2013,100005,1.4,Flex,Manual,Hidráulica,Prata,3,1,1,1,1,1,1,0,0,0,0,39.000
FORD RANGER XLS 2.2 4X4 CD DIESEL AUT.,FORD,Pick-up,2021,25000,2.0 - 2.9,Diesel,Automático,Elétrica,Cinza,0,1,1,1,1,1,1,1,1,1,0,198.000
TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,TOYOTA,Hatch,2017,60000,1.3,Flex,Manual,Elétrica,Cinza,0,1,1,1,0,0,1,0,0,0,0,46.500
FIAT TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,FIAT,Pick-up,2019,85000,2.0 - 2.9,Diesel,Automático,Elétrica,Branco,9,1,1,1,0,1,1,1,1,1,0,140.000
JEEP RENEGADE LONGITUDE 2.0 4X4 TB DIESEL AUT,JEEP,SUV,2020,28000,2.0 - 2.9,Diesel,Automático,Elétrica,Prata,9,1,1,1,1,1,1,1,1,1,0,135.990
VW - VOLKSWAGEN VOYAGE 1.6/1.6 CITY  MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2016,80,1.6,Flex,Manual,Hidráulica,Branco,6,1,1,1,1,1,1,1,1,0,0,39.800
TOYOTA HILUX CD SRV 4X4 2.8 TDI DIESEL AUT.,TOYOTA,Pick-up,2017,48000,2.0 - 2.9,Diesel,Automático,Hidráulica,Prata,7,1,1,1,1,1,1,1,0,1,0,210.000
FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,Passeio,2008,150,1.0,Flex,Manual,Hidráulica,Preto,2,1,1,1,1,0,0,1,0,0,0,24.000
HONDA CIVIC SEDAN EX 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2020,20300,2.0 - 2.9,Flex,Automático,Elétrica,Branco,3,1,1,1,1,1,1,1,1,1,0,125.000
HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V AUT. 4P,HONDA,Sedã,2013,115000,1.8,Flex,Automático,Hidráulica,Prata,3,1,1,1,1,1,1,1,1,1,0,60.000
MITSUBISHI L200 TRITON HPE 3.2 CD TB INT.DIESEL AUT,MITSUBISHI,Passeio,2012,187000,3.0 - 3.9,Diesel,Automático,Hidráulica,Branco,3,1,1,1,1,1,1,1,0,0,0,113.000
MITSUBISHI PAJERO SPORT HPE-S 2.4 4X4 DIESEL AUT,MITSUBISHI,SUV,2019,52000,2.0 - 2.9,Diesel,Automático,Hidráulica,Preto,1,1,1,1,1,1,1,1,1,1,0,285.000
